core	model	corpus	opcode	mnemonic	addressing_mode	opcode_group_65c02	cases_run	instruction_status	instruction_failed_opcode	instruction_failed_cases	cycle_count_status	cycle_count_failed_opcode	cycle_count_failed_cases	bus_trace_status	bus_trace_failed_opcode	bus_trace_failed_cases
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x6C	JMP	indirect	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x6D	ADC	absolute	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x6E	ROR	absolute	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x6F	NOP	illegal	nop	10000	failed	1	10000	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x70	BVS	relative	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x71	ADC	(zero page),Y	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x72	???	illegal	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x73	NOP	illegal	nop	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x74	???	illegal	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x75	ADC	zero page,X	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x76	ROR	zero page,X	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x77	NOP	illegal	nop	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x78	SEI	implied	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x79	ADC	absolute,Y	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x7A	???	illegal	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x7B	NOP	illegal	nop	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x7C	???	illegal	functional	10000	passed	0	0	passed	0	0	failed	1	5000
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x7D	ADC	absolute,X	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x7E	ROR	absolute,X	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x7F	NOP	illegal	nop	10000	failed	1	4995	passed	0	0	failed	1	5005
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x80	???	illegal	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x81	STA	(zero page,X)	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x82	NOP	illegal	nop	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x83	NOP	illegal	nop	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x84	STY	zero page	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x85	STA	zero page	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x86	STX	zero page	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x87	NOP	illegal	nop	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x88	DEY	implied	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x89	???	illegal	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x8A	TXA	implied	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x8B	NOP	illegal	nop	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x8C	STY	absolute	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x8D	STA	absolute	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x8E	STX	absolute	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x8F	NOP	illegal	nop	10000	failed	1	10000	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x90	BCC	relative	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x91	STA	(zero page),Y	functional	10000	passed	0	0	passed	0	0	failed	1	5087
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x92	???	illegal	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x93	NOP	illegal	nop	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x94	STY	zero page,X	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x95	STA	zero page,X	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x96	STX	zero page,Y	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x97	NOP	illegal	nop	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x98	TYA	implied	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x99	STA	absolute,Y	functional	10000	passed	0	0	passed	0	0	failed	1	5108
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x9A	TXS	implied	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x9B	NOP	illegal	nop	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x9C	???	illegal	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x9D	STA	absolute,X	functional	10000	passed	0	0	passed	0	0	failed	1	5021
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x9E	???	illegal	functional	10000	passed	0	0	passed	0	0	failed	1	5085
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0x9F	NOP	illegal	nop	10000	failed	1	5050	passed	0	0	failed	1	4950
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0xA0	LDY	immediate	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0xA1	LDA	(zero page,X)	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0xA2	LDX	immediate	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0xA3	NOP	illegal	nop	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0xA4	LDY	zero page	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0xA5	LDA	zero page	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0xA6	LDX	zero page	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0xA7	NOP	illegal	nop	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0xA8	TAY	implied	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0xA9	LDA	immediate	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0xAA	TAX	implied	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0xAB	NOP	illegal	nop	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0xAC	LDY	absolute	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0xAD	LDA	absolute	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0xAE	LDX	absolute	functional	10000	passed	0	0	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0xAF	NOP	illegal	nop	10000	failed	1	10000	passed	0	0	passed	0	0
clk	Synertek/ST 65C02	/Users/ndn/prv/cpp_prj/cpp-6502/tests/SingleStepTests/synertek65c02/v1	0xB0	BCS	relative	functional	10000	passed	0	0	passed	0	0	passed	0	0
